Almer,15,15,15,15,15,15,15,15,15,15,15,15,25,20,20,20,20,20
Argonian,15,15,15,15,15,15,20,20,25,20,15,15,15,15,15,20,20,15
Wood Elf,15,15,15,15,15,25,20,20,20,20,15,20,15,15,15,15,15,15
Breton,15,15,15,15,15,15,15,15,15,15,20,20,20,25,15,20,20,15
Dunmer,15,15,15,15,15,15,20,20,15,15,15,20,20,15,25,15,20,15
Imperial,15,20,20,15,20,15,15,15,15,15,15,15,15,15,20,25,15,20
Khajit,15,15,15,15,20,20,15,25,20,20,15,20,15,15,15,15,15,15
Nord,20,15,20,25,20,15,20,15,15,15,20,15,15,15,15,15,15,15
Orsimer,20,25,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,20
Redguard,20,15,20,15,25,20,15,15,15,15,15,15,15,15,20,15,20,15
